location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Democratic Republic of Congo,Africa,231.048,1.6640000000000001,7.034,0.011000000000000001,1.04,57.69799999999999,455.75700000000006,212.7935,0.297,1.41,0.69,0.34750000000000003,26.85,89561404.0,35.879,808.133,60.68,0.48,23.275
Denmark,Europe,32609.009,153.31,301.785,4.6610000000000005,0.69,22.789,137.944,2040.56,0.013999999999999999,2.79,2.79,0.030000000000000002,70.37,5792203.0,136.52,46682.515,80.9,0.94,10.64
Djibouti,Africa,5974.684,2.024,61.74100000000001,0.0,0.93,36.2915,259.64799999999997,698.2215000000001,0.0125,0.575,0.575,0.22999999999999998,37.96,988002.0,41.285,2705.406,67.11,0.524,5.03
Dominica,North America,1527.969,0.0,40.804,0.0,0.2,35.682,98.129,1156.5347499999998,0.0865,7.25,6.859999999999999,0.765,29.63,71991.0,98.56700000000001,9673.367,75.0,0.742,2.485
Dominican Republic,North America,17638.338,134.496,224.19099999999997,0.369,1.11,68.11800000000001,429.88,87.6325,0.243,0.555,0.555,0.0675,70.37,10847904.0,222.873,14600.861,74.08,0.7559999999999999,39.185
Ecuador,South America,13082.083999999999,57.133,811.424,1.53,1.17,47.9835,354.20449999999994,43.43600000000001,0.284,0.0,0.0,0.04,69.44,17643060.0,66.939,10581.936000000002,77.01,0.759,57.26
Egypt,Africa,1519.596,8.697000000000001,83.325,0.537,0.88,57.69799999999999,455.75700000000006,39.689,0.066,0.0,0.0,0.015,65.74,102334403.0,97.999,10550.206,71.99,0.7070000000000001,21.45
El Salvador,North America,7829.545,44.71,228.023,1.5419999999999998,1.01,27.118499999999997,265.21049999999997,101.638,0.12300000000000001,0.385,0.38,0.035,47.22,6486201.0,307.811,7292.4580000000005,73.32,0.6729999999999999,37.13
Equatorial Guinea,Africa,3817.575,0.0,61.298,0.0,1.0,36.2915,434.9125,296.88950000000006,0.0715,0.68,0.68,0.04,59.26,1402985.0,45.193999999999996,22604.873,58.74,0.5920000000000001,10.05
Eritrea,Africa,529.265,0.0,1.692,0.0,1.17,64.79650000000001,588.7974999999999,234.46375,0.055,0.47000000000000003,0.425,0.315,89.81,3546427.0,44.303999999999995,1510.4589999999998,66.32,0.45899999999999996,1.540000000000001
Estonia,Europe,27659.194,364.105,241.229,3.7689999999999997,1.0,33.169000000000004,312.09,538.5740000000001,0.11199999999999999,1.36,1.36,0.03,50.0,1326539.0,31.033,29481.252,78.74,0.892,14.27
Eswatini,Africa,10977.758,176.699,310.301,9.481,1.05,36.2915,259.64799999999997,296.88950000000006,0.0715,0.68,0.68,0.22999999999999998,75.0,1160164.0,79.492,7738.975,60.19,0.611,10.05
Ethiopia,Africa,1137.508,3.679,17.649,0.035,1.0,50.0015,394.81950000000006,16.372,0.08,0.1875,0.185,0.01,43.52,114963583.0,104.95700000000001,1729.9270000000001,66.6,0.485,7.415000000000001
Faeroe Islands,Europe,31562.2225,117.99549999999999,1600.049,0.0,0.87,35.682,98.129,1156.5347499999998,0.0865,8.17,8.17,0.0,27.78,48865.0,35.308,37661.85,80.67,0.849,-4.88
Fiji,Oceania,61.354,0.0,2.231,0.0,0.98,36.2915,183.884,26.481,0.002,2.23,1.53,0.9849999999999999,49.07,896444.0,49.562,8702.975,67.44,0.743,16.57
Finland,Europe,7237.51,53.423,111.538,0.0,1.04,4.873,26.711,481.423,0.024,0.995,2.215,0.18,52.31,5540718.0,18.136,40585.721,81.91,0.938,1.17
France,Europe,43698.39,315.507,1040.21,4.588,1.1,40.421,370.151,407.42550000000006,0.064,0.65,0.65,0.0,63.89,67564251.0,122.57799999999999,38605.671,82.66,0.9009999999999999,12.99
Gabon,Africa,4447.534000000001,0.0,29.653000000000002,0.0,1.44,62.04050000000001,560.9835,110.58775,0.101,1.61,1.61,0.11499999999999999,65.74,2225728.0,7.859,16562.413,66.47,0.703,20.365
Gambia,Africa,1612.5539999999999,2.069,52.552,0.0,1.15,62.04050000000001,560.9835,14.1225,0.028999999999999998,1.19,1.19,0.11499999999999999,45.37,2416664.0,207.56599999999997,1561.767,62.05,0.496,12.9
Georgia,Asia,61923.831,226.363,730.9780000000001,5.515,0.79,21.776999999999997,385.6095,298.3215,0.08800000000000001,0.875,0.495,0.46499999999999997,84.26,3989175.0,65.032,9745.079,73.77,0.812,5.78
Germany,Europe,24332.167999999998,148.358,554.569,9.918,0.89,59.582,455.75700000000006,458.749,0.10400000000000001,1.39,1.38,0.01,83.33,83783945.0,237.016,45229.245,81.33,0.9470000000000001,25.1
Ghana,Africa,1833.7820000000002,6.147,10.974,0.0,1.24,28.20825,258.8655,23.212,0.073,0.12,0.6625000000000001,0.1,38.89,31072945.0,126.719,4227.63,64.07,0.611,78.915
Gibraltar,Europe,72170.1995,353.71950000000004,1600.049,0.0,0.87,35.682,98.129,1156.5347499999998,0.0865,24.97,24.97,1.19,48.61,33691.0,3457.1,53765.3925,79.93,0.849,183.44
Greece,Europe,14234.788999999999,53.919,522.016,2.6860000000000004,0.93,68.11800000000001,429.88,363.4,0.023,0.7,0.7,0.03,80.56,10423056.0,83.479,24574.382,82.24,0.888,-6.38
Greenland,North America,353.38399999999996,0.0,1231.303,0.0,0.92,35.682,98.129,1156.5347499999998,0.0865,4.55,4.55,0.39,37.04,56772.0,0.13699999999999998,14236.7935,71.7,0.7415,9.56
Grenada,North America,1235.347,0.0,8.887,0.0,0.06,35.682,98.129,1156.5347499999998,0.0865,11.065,11.085,0.375,42.13,112519.0,317.132,13593.877,72.4,0.779,16.925
Guatemala,North America,8294.351,43.648999999999994,291.367,1.619,1.1,47.9835,354.20449999999994,37.575,0.155,0.049999999999999996,0.049999999999999996,0.04,52.31,17915567.0,157.834,7423.808000000001,74.3,0.6629999999999999,35.22
Guernsey,Europe,59251.0095,368.8605,1231.303,0.0,0.655,35.682,98.129,1156.5347499999998,0.0865,9.95,9.17,0.78,41.9,67052.0,782.6579999999999,50286.172000000006,83.255,0.8049999999999999,89.28
Guinea,Africa,1073.496,1.98,6.167999999999999,0.0,1.12,66.297,386.38199999999995,50.689,0.2335,0.535,1.09,0.04,49.07,13132792.0,51.755,1998.9260000000002,61.6,0.47700000000000004,72.2675
