country,tfr,continent,population,life_exp,gdp,cmr
Guinea,6.08,africa,8240000.0,54.4,613.0,166.0
Guinea-Bissau,5.82,africa,1200000.0,52.0,550.0,175.0
Guyana,3.02,americas,747000.0,66.2,2400.0,46.6
Haiti,4.3,americas,8460000.0,57.4,756.0,103.0
Honduras,4.06,americas,6570000.0,70.4,1610.0,37.1
Hungary,1.31,europe,10200000.0,71.8,10500.0,10.2
Iceland,2.01,europe,280000.0,80.1,37500.0,4.05
India,3.31,asia,1060000000.0,62.9,827.0,91.6
Indonesia,2.51,asia,212000000.0,67.3,2140.0,52.4
Iran,2.21,asia,65600000.0,73.6,4820.0,34.3
Iraq,4.89,asia,23500000.0,66.7,4320.0,44.3
Ireland,1.95,europe,3780000.0,76.6,44100.0,7.15
Israel,2.92,asia,5950000.0,78.7,27700.0,6.89
Italy,1.25,europe,56700000.0,79.6,36300.0,5.56
Jamaica,2.58,americas,2650000.0,74.0,4660.0,22.3
Japan,1.32,asia,128000000.0,81.4,42200.0,4.5
Jordan,4.03,asia,5120000.0,72.8,2840.0,27.0
Kazakhstan,1.92,asia,14900000.0,65.5,4490.0,42.8
Kenya,5.18,africa,32000000.0,55.6,820.0,106.0
Kiribati,4.06,asia,84400.0,59.3,1720.0,71.4
Kuwait,2.85,asia,2050000.0,78.6,36100.0,12.3
Kyrgyz Republic,2.66,asia,4920000.0,66.9,654.0,49.5
Lao,4.31,asia,5320000.0,57.1,673.0,107.0
Latvia,1.18,europe,2380000.0,70.7,6960.0,14.2
Lebanon,2.23,asia,3840000.0,75.4,5720.0,19.9
Lesotho,4.09,africa,2030000.0,48.9,810.0,118.0
Liberia,5.88,africa,2850000.0,54.3,614.0,187.0
Libya,2.86,africa,5360000.0,73.2,8960.0,28.1
Lithuania,1.34,europe,3500000.0,72.3,6930.0,10.7
Luxembourg,1.7,europe,436000.0,78.0,93500.0,4.8
Madagascar,5.55,africa,15800000.0,58.9,490.0,107.0
Malawi,6.15,africa,11100000.0,44.6,393.0,173.0
Malaysia,2.78,asia,23200000.0,72.8,7010.0,10.2
Maldives,2.94,asia,279000.0,72.3,5800.0,39.2
Mali,6.9,africa,10900000.0,53.3,555.0,188.0
Malta,1.67,europe,394000.0,78.5,18300.0,7.59
Mauritania,5.45,africa,2630000.0,63.5,1470.0,114.0
Mauritius,1.99,africa,1190000.0,72.2,5660.0,18.6
Mexico,2.72,americas,98900000.0,74.6,9250.0,26.4
"Micronesia, Fed. Sts.",4.3,asia,107000.0,65.2,2710.0,53.5
Moldova,1.44,europe,4200000.0,68.6,1450.0,31.3
Mongolia,2.14,asia,2400000.0,62.0,1600.0,63.7
Montenegro,1.88,europe,614000.0,73.9,4950.0,14.2
Morocco,2.78,africa,28800000.0,69.3,1980.0,49.4
Mozambique,5.82,africa,17700000.0,50.5,289.0,171.0
Myanmar,2.91,asia,46700000.0,58.7,342.0,89.1
Namibia,4.02,africa,1790000.0,54.5,4010.0,77.1
Nepal,4.03,asia,23900000.0,65.7,455.0,81.1
Netherlands,1.72,europe,15900000.0,78.1,46400.0,6.19
New Zealand,1.98,asia,3860000.0,78.3,29400.0,7.39
Nicaragua,3.08,americas,5070000.0,75.0,1290.0,36.6
Niger,7.68,africa,11300000.0,51.8,428.0,226.0
Nigeria,6.11,africa,122000000.0,55.2,1380.0,185.0
Norway,1.85,europe,4500000.0,78.6,81700.0,4.85
Oman,3.72,asia,2270000.0,73.0,18200.0,16.5
Pakistan,4.58,asia,142000000.0,61.9,820.0,112.0
Palestine,5.38,asia,3220000.0,70.5,2160.0,30.1
Panama,2.74,americas,3030000.0,77.4,5490.0,25.9
Papua New Guinea,4.53,asia,5850000.0,56.0,1640.0,72.4
Paraguay,3.55,americas,5320000.0,74.5,3570.0,33.8
Peru,2.93,americas,26500000.0,74.7,3240.0,38.6
Philippines,3.81,asia,78000000.0,69.3,1670.0,37.8
Poland,1.35,europe,38600000.0,73.9,8530.0,9.31
Portugal,1.46,europe,10300000.0,76.7,21500.0,7.2
Qatar,3.24,asia,592000.0,74.1,60800.0,12.4
Romania,1.31,europe,22100000.0,71.1,4900.0,21.9
Russia,1.2,europe,146000000.0,65.5,6490.0,19.3
Rwanda,5.64,africa,7930000.0,49.6,353.0,183.0
Samoa,4.5,asia,174000.0,71.7,2860.0,21.1
Saudi Arabia,3.97,asia,20700000.0,74.7,18400.0,22.2
Senegal,5.47,africa,9800000.0,60.6,1120.0,131.0
Serbia,1.77,europe,9490000.0,72.1,3520.0,12.7
Seychelles,2.15,africa,81000.0,71.5,9790.0,13.7
Sierra Leone,6.32,africa,4580000.0,50.9,302.0,234.0
Singapore,1.6,asia,4030000.0,79.3,33900.0,3.86
Slovak Republic,1.27,europe,5400000.0,73.5,10300.0,9.78
Slovenia,1.21,europe,1990000.0,76.0,18500.0,5.51
Solomon Islands,4.72,asia,413000.0,61.5,1250.0,30.4
South Africa,2.83,africa,45000000.0,55.6,5940.0,73.9
South Korea,1.35,asia,47400000.0,76.3,15400.0,7.48
Spain,1.23,europe,40800000.0,79.4,28400.0,5.44
Sri Lanka,2.24,asia,18800000.0,71.6,1830.0,16.5
St. Lucia,2.2,americas,157000.0,73.8,7850.0,18.0
St. Vincent and the Grenadines,2.38,americas,108000.0,71.2,4750.0,22.6
Sudan,5.47,africa,27300000.0,63.4,993.0,104.0
Suriname,2.86,americas,471000.0,69.5,5730.0,34.4
Sweden,1.56,europe,8880000.0,79.8,44900.0,4.1
Switzerland,1.44,europe,7140000.0,80.1,67800.0,5.64
Tajikistan,3.91,asia,6220000.0,67.8,415.0,83.9
Tanzania,5.69,africa,33500000.0,53.5,522.0,130.0
Thailand,1.67,asia,63000000.0,71.8,3460.0,21.9
Timor-Leste,7.11,asia,884000.0,65.3,641.0,108.0
Togo,5.41,africa,4920000.0,56.9,559.0,120.0
Tonga,4.25,asia,98000.0,70.7,3280.0,17.6
Trinidad and Tobago,1.75,americas,1270000.0,70.4,9790.0,28.7
Tunisia,2.14,africa,9710000.0,74.3,3000.0,30.0
Turkey,2.5,europe,63200000.0,74.1,8240.0,37.9
Turkmenistan,2.82,asia,4520000.0,66.7,2380.0,81.0
Uganda,6.87,africa,23700000.0,49.1,549.0,148.0
Ukraine,1.15,europe,48800000.0,68.0,1820.0,18.4
United Arab Emirates,2.64,asia,3130000.0,71.8,63300.0,11.2
United Kingdom,1.68,europe,58900000.0,78.0,35700.0,6.54
United States,2.05,americas,282000000.0,76.9,44700.0,8.45
Uruguay,2.24,americas,3320000.0,74.6,9000.0,17.0
Uzbekistan,2.74,asia,24800000.0,67.3,979.0,62.9
Vanuatu,4.37,asia,185000.0,63.4,2840.0,28.8
Venezuela,2.82,americas,24200000.0,74.0,11900.0,21.6
Vietnam,2.01,asia,79900000.0,71.5,765.0,29.9
Yemen,6.31,asia,17400000.0,63.3,1170.0,94.9
Zambia,6.04,africa,10400000.0,46.0,949.0,162.0
Zimbabwe,4.06,africa,11900000.0,46.6,1450.0,105.0
