country,tfr,continent,population,life_exp,gdp,cmr
El Salvador,3.96,americas,5270000.0,69.2,2140.0,59.8
Equatorial Guinea,5.99,africa,419000.0,48.3,518.0,179.0
Ethiopia,7.25,africa,47900000.0,47.1,208.0,202.0
Fiji,3.4,asia,729000.0,67.7,2930.0,29.2
Finland,1.79,europe,5000000.0,75.1,33400.0,6.73
France,1.75,europe,56700000.0,77.0,32500.0,8.99
Gabon,5.42,africa,949000.0,60.0,11200.0,92.6
Gambia,6.11,africa,956000.0,59.9,831.0,167.0
Georgia,2.18,europe,5410000.0,70.0,3700.0,47.9
Germany,1.36,europe,79100000.0,75.5,32400.0,8.53
Ghana,5.6,africa,14800000.0,59.2,816.0,127.0
Greece,1.47,europe,10200000.0,77.5,19400.0,10.4
Grenada,3.84,americas,96300.0,69.4,4770.0,22.3
Guatemala,5.44,americas,9260000.0,63.0,2200.0,80.1
Guinea,6.6,africa,6350000.0,51.9,542.0,236.0
Guinea-Bissau,6.63,africa,975000.0,48.7,637.0,223.0
Guyana,3.07,americas,743000.0,65.5,1500.0,60.3
Haiti,5.43,americas,7040000.0,54.5,909.0,144.0
Honduras,5.14,americas,4960000.0,68.9,1560.0,58.0
Iceland,2.16,europe,255000.0,77.8,31600.0,6.43
India,4.05,asia,873000000.0,59.6,581.0,126.0
Indonesia,3.12,asia,181000000.0,63.9,1710.0,84.2
Iran,4.82,asia,56400000.0,68.1,4130.0,56.0
Iraq,5.88,asia,17400000.0,65.9,4090.0,53.7
Ireland,2.0,europe,3510000.0,74.9,24300.0,9.16
Israel,3.0,asia,4450000.0,77.4,21500.0,11.6
Italy,1.3,europe,57000000.0,77.1,30900.0,9.65
Jamaica,2.95,americas,2420000.0,75.0,4280.0,30.4
Japan,1.56,asia,125000000.0,79.3,38100.0,6.32
Jordan,5.49,asia,3570000.0,71.0,2470.0,36.1
Kazakhstan,2.83,asia,16400000.0,68.5,5890.0,52.3
Kenya,6.07,africa,23700000.0,61.9,917.0,107.0
Kiribati,4.69,asia,72400.0,58.5,1680.0,95.5
Kyrgyz Republic,3.89,asia,4370000.0,66.3,1100.0,64.8
Lao,6.15,asia,4260000.0,51.9,462.0,153.0
Lebanon,3.0,asia,2800000.0,70.3,3010.0,32.3
Lesotho,4.92,africa,1700000.0,60.4,642.0,90.1
Luxembourg,1.56,europe,382000.0,75.4,65900.0,8.7
Madagascar,6.18,africa,11600000.0,55.4,563.0,159.0
Malawi,6.92,africa,9400000.0,48.6,332.0,239.0
Malaysia,3.55,asia,18000000.0,71.3,4540.0,16.6
Mali,7.17,africa,8450000.0,49.3,482.0,230.0
Malta,2.03,europe,362000.0,76.5,12000.0,11.3
Mauritania,6.04,africa,2030000.0,59.6,1570.0,117.0
Mauritius,2.29,africa,1060000.0,70.1,3810.0,23.1
Mexico,3.47,americas,83900000.0,71.4,7790.0,44.8
"Micronesia, Fed. Sts.",4.96,asia,96300.0,63.5,2360.0,55.3
Mongolia,4.05,asia,2180000.0,61.2,1760.0,108.0
Morocco,4.06,africa,24800000.0,66.6,1730.0,79.1
Mozambique,6.21,africa,13000000.0,50.3,216.0,241.0
Myanmar,3.46,asia,41300000.0,55.3,194.0,115.0
Namibia,5.23,africa,1430000.0,61.6,3500.0,73.7
Nepal,5.17,asia,18900000.0,58.3,354.0,140.0
Netherlands,1.62,europe,15000000.0,77.0,35700.0,8.32
New Zealand,2.4,asia,3400000.0,75.3,25100.0,11.2
Nicaragua,4.6,americas,4170000.0,71.9,1130.0,66.4
Niger,7.77,africa,8030000.0,46.6,513.0,329.0
Nigeria,6.49,africa,95200000.0,55.5,1520.0,211.0
Norway,1.93,europe,4250000.0,76.7,60200.0,8.66
Oman,7.17,asia,1810000.0,68.8,14500.0,38.9
Pakistan,6.02,asia,108000000.0,61.7,737.0,139.0
Panama,3.06,americas,2470000.0,75.8,4060.0,30.8
Papua New Guinea,4.8,asia,4620000.0,54.4,1390.0,87.1
Paraguay,4.55,americas,4220000.0,74.3,3550.0,45.4
Peru,3.83,americas,22100000.0,70.0,2650.0,80.5
Philippines,4.32,asia,61900000.0,67.9,1590.0,56.7
Poland,2.08,europe,38000000.0,71.2,5950.0,17.4
Portugal,1.52,europe,9900000.0,74.1,16700.0,14.7
Romania,1.87,europe,23500000.0,69.9,5380.0,31.1
Russia,1.89,europe,148000000.0,69.5,9570.0,21.6
Rwanda,7.18,africa,7290000.0,49.4,381.0,154.0
Samoa,5.12,asia,163000.0,70.8,2410.0,30.1
Saudi Arabia,5.91,asia,16200000.0,71.7,18100.0,44.7
Senegal,6.53,africa,7530000.0,58.4,1070.0,139.0
Seychelles,2.74,africa,70600.0,70.5,7540.0,16.6
Sierra Leone,6.72,africa,4320000.0,50.1,415.0,263.0
Singapore,1.83,asia,3010000.0,76.1,22600.0,7.66
Slovenia,1.48,europe,2010000.0,73.9,15500.0,10.4
Solomon Islands,5.85,asia,312000.0,60.2,1300.0,38.5
South Africa,3.65,africa,36800000.0,65.1,6060.0,59.2
South Korea,1.58,asia,42900000.0,72.2,8500.0,15.4
Spain,1.34,europe,39200000.0,77.0,22500.0,9.14
Sri Lanka,2.48,asia,17300000.0,69.7,1190.0,21.9
St. Lucia,3.4,americas,138000.0,70.5,7090.0,22.3
St. Vincent and the Grenadines,2.96,americas,107000.0,71.0,3510.0,23.8
Sudan,6.15,africa,20100000.0,58.6,755.0,132.0
Suriname,3.03,americas,405000.0,68.8,6090.0,47.9
Sweden,2.14,europe,8570000.0,77.7,37800.0,6.96
Switzerland,1.55,europe,6650000.0,77.8,64300.0,8.19
Tajikistan,5.23,asia,5280000.0,67.0,1280.0,102.0
Tanzania,6.21,africa,25200000.0,54.9,516.0,166.0
Thailand,2.11,asia,56600000.0,70.7,2500.0,36.9
Togo,6.32,africa,3770000.0,57.6,587.0,145.0
Tonga,4.64,asia,95100.0,70.2,2550.0,22.2
Trinidad and Tobago,2.45,americas,1220000.0,69.9,5820.0,30.4
Tunisia,3.48,africa,8240000.0,72.5,2220.0,55.5
Turkey,3.11,europe,53900000.0,68.6,6770.0,73.9
Turkmenistan,4.34,asia,3680000.0,66.0,3710.0,84.6
Uganda,7.09,africa,17400000.0,47.6,398.0,185.0
Ukraine,1.81,europe,51500000.0,70.3,3970.0,19.4
United Arab Emirates,4.45,asia,1830000.0,71.2,68800.0,16.6
United Kingdom,1.81,europe,57100000.0,75.8,28700.0,9.31
United States,2.07,americas,252000000.0,75.6,36100.0,11.2
Uruguay,2.52,americas,3110000.0,73.0,6880.0,22.9
Uzbekistan,4.21,asia,20400000.0,69.4,1200.0,72.5
Vanuatu,4.93,asia,147000.0,62.4,2570.0,35.7
Venezuela,3.45,americas,19600000.0,72.1,12000.0,29.6
Vietnam,3.55,asia,68000000.0,68.9,433.0,51.4
Yemen,8.61,asia,11700000.0,58.7,1000.0,126.0
Zambia,6.44,africa,8040000.0,50.7,1040.0,186.0
Zimbabwe,5.18,africa,10400000.0,60.9,1390.0,80.5
