location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
United Kingdom,Europe,67781.269,123.523,1888.2465,0.16949999999999998,1.42,3.0489999999999995,18.303,2608.4475,0.009000000000000001,107.055,62.045,45.015,51.39,67886004.0,272.89799999999997,39753.244,81.32,0.932,-1.1600000000000001
United States,North America,101184.4855,38.61,1814.031,0.9804999999999999,0.86,11.814,41.019,1395.736,0.02,93.41,52.285,43.69,58.8,331002647.0,35.608000000000004,54225.445999999996,78.86,0.9259999999999999,4.380000000000001
Uruguay,South America,99335.67,655.348,1469.459,12.235,0.81,11.576,49.729499999999994,747.5880000000001,0.1495,98.215,61.485,36.730000000000004,63.89,3473727.0,19.750999999999998,20551.409,77.91,0.8170000000000001,37.43
Uzbekistan,Asia,3115.9394999999995,9.9195,21.213500000000003,0.06,1.14,5.28075,38.4555,29.054250000000003,0.04025,7.215,4.85,3.0,45.37,33469199.0,76.134,6253.104,71.72,0.72,20.28
Vanuatu,Oceania,13.023,0.0,3.2560000000000002,0.0,0.99,7.791,8.654,1444.1730000000002,0.02775,0.28,0.28,5.225,22.22,307150.0,22.662,2921.909,70.47,0.609,-39.25
Vatican,Europe,33374.536,0.0,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,10.785,10.785,20.43,41.205,809.0,527.7585,8235.3695,75.12,0.849,-39.25
Venezuela,South America,8960.016,46.367000000000004,101.12199999999999,0.5455,0.99,5.28075,17.7125,16.633499999999998,0.043250000000000004,4.58,3.79,0.79,86.11,28435943.0,36.253,16745.022,72.06,0.711,14.065000000000001
Vietnam,Asia,118.648,2.923,0.627,0.01,1.23,14.443999999999999,111.37425,47.3,0.005,1.755,1.69,0.07,77.31,97338583.0,308.127,6171.884,75.4,0.7040000000000001,71.6575
Wallis and Futuna,Oceania,56360.02650000001,0.0,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,76.98,39.75,37.23,44.91,11246.0,527.7585,8235.3695,79.94,0.849,-39.25
Yemen,Asia,230.1855,0.1845,45.279500000000006,0.034,0.82,5.28075,38.4555,29.054250000000003,0.04025,0.79,0.79,11.3675,37.96,29825968.0,53.508,1479.1470000000002,66.12,0.47,14.065000000000001
Zambia,Africa,6382.576,112.19,79.85249999999999,1.55,1.52,18.24175,162.07575000000003,93.3595,0.182,0.815,0.77,0.045,38.89,18383956.0,22.995,3689.2509999999997,63.89,0.584,72.7025
Zimbabwe,Africa,2720.6615,14.465499999999999,110.24100000000001,0.336,1.77,18.24175,162.07575000000003,39.4845,0.062,7.515000000000001,4.68,2.835,64.81,14862927.0,42.729,1899.775,61.49,0.5710000000000001,72.7025
